0,0,,,,,,,,,,,,,,,,,,,,
0.002,0.001,,,,,,,,,,,,,,,,,,,,
0.00399999,0.002,,,,,,,,,,,,,,,,,,,,
0.00599997,0.003,,,,,,,,,,,,,,,,,,,,
0.00799993,0.004,,,,,,,,,,,,,,,,,,,,
0.00999987,0.005,,,,,,,,,,,,,,,,,,,,
0.0119998,0.006,,,,,,,,,,,,,,,,,,,,
0.0139996,0.007,,,,,,,,,,,,,,,,,,,,
0.0159995,0.008,,,,,,,,,,,,,,,,,,,,
0.0179992,0.009,,,,,,,,,,,,,,,,,,,,
0.0199989,0.01,,,,,,,,,,,,,,,,,,,,
0.0219986,0.011,,,,,,,,,,,,,,,,,,,,
0.0239982,0.012,,,,,,,,,,,,,,,,,,,,
0.0259977,0.013,,,,,,,,,,,,,,,,,,,,
0.0279971,0.014,,,,,,,,,,,,,,,,,,,,
0.0299964,0.015,,,,,,,,,,,,,,,,,,,,
0.0319957,0.016,,,,,,,,,,,,,,,,,,,,
0.0339948,0.017,,,,,,,,,,,,,,,,,,,,
0.0359939,0.018,,,,,,,,,,,,,,,,,,,,
0.0379928,0.019,,,,,,,,,,,,,,,,,,,,
0.0399916,0.02,,,,,,,,,,,,,,,,,,,,
0.0419902,0.021,,,,,,,,,,,,,,,,,,,,
0.0439888,0.022,,,,,,,,,,,,,,,,,,,,
0.0459872,0.023,,,,,,,,,,,,,,,,,,,,
0.0479854,0.024,,,,,,,,,,,,,,,,,,,,
0.0499835,0.025,,,Contact Loses,,,Contact occur,,,,,,,,,,,,,,
0.0519815,0.026,,,0.574,0.955569,,1.333,0.59867,,,,,,,,,,,,,
0.0539793,0.027,,,5.683,3.14946,,6.096,3.1768,,,,,,,,,,,,,
0.0559769,0.028,,,9.611,3.17594,,11.801,-3.60551,,,,,,,,,,,,,
0.0579743,0.029,,,14.551,0.897621,,15.133,0.956548,,,,,,,,,,,,,
0.0599716,0.03,,,18.791,4.70971,,19.133,4.70405,,,,,,,,,,,,,
0.0619686,0.031,,,,,,,,,,,,,,,,,,,,
0.0639655,0.032,,,,,,,,,,,,,,,,,,,,
0.0659622,0.033,,,,,,,,,,,,,,,,,,,,
0.0679586,0.034,,,,,,,,,,,,,,,,,,,,
0.0699548,0.035,,,,,,,,,,,,,,,,,,,,
0.0719509,0.036,,,,,,,,,,,,,,,,,,,,
0.0739467,0.037,,,,,,,,,,,,,,,,,,,,
0.0759422,0.038,,,,,,,,,,,,,,,,,,,,
0.0779375,0.039,,,,,,,,,,,,,,,,,,,,
0.0799326,0.04,,,,,,,,,,,,,,,,,,,,
0.0819274,0.041,,,,,,,,,,,,,,,,,,,,
0.083922,0.042,,,,,,,,,,,,,,,,,,,,
0.0859163,0.043,,,,,,,,,,,,,,,,,,,,
0.0879103,0.044,,,,,,,,,,,,,,,,,,,,
0.089904,0.045,,,,,,,,,,,,,,,,,,,,
0.0918975,0.046,,,,0,0.999875,,,,,,,,,,,,,,,
0.0938907,0.047,,,,0.01,0.999585,,,,,,,,,,,,,,,
0.0958835,0.048,,,,0.02,0.99913,,,,,,,,,,,,,,,
0.0978761,0.049,,,,0.03,0.99851,,,,,,,,,,,,,,,
0.0998684,0.05,,,,0.04,0.997727,,,,,,,,,,,,,,,
0.10186,0.051,,,,0.05,0.996779,,,,,,,,,,,,,,,
0.103852,0.052,,,,0.06,0.995669,,,,,,,,,,,,,,,
0.105843,0.053,,,,0.07,0.994397,,,,,,,,,,,,,,,
0.107834,0.054,,,,0.08,0.992964,,,,,,,,,,,,,,,
0.109825,0.055,,,,0.09,0.991369,,,,,,,,,,,,,,,
0.111815,0.056,,,,0.1,0.989614,,,,,,,,,,,,,,,
0.113805,0.057,,,,0.11,0.9877,,,,,,,,,,,,,,,
0.115795,0.058,,,,0.12,0.985627,,,,,,,,,,,,,,,
0.117784,0.059,,,,0.13,0.983396,,,,,,,,,,,,,,,
0.119773,0.06,,,,0.14,0.981008,,,,,,,,,,,,,,,
0.121761,0.061,,,,0.15,0.978464,,,,,,,,,,,,,,,
0.123749,0.062,,,,0.16,0.975764,,,,,,,,,,,,,,,
0.125737,0.063,,,,0.17,0.97291,,,,,,,,,,,,,,,
0.127724,0.064,,,,0.18,0.969902,,,,,,,,,,,,,,,
0.129711,0.065,,,,0.19,0.966741,,,,,,,,,,,,,,,
0.131697,0.066,,,,0.2,0.963428,,,,,,,,,,,,,,,
0.133683,0.067,,,,0.21,0.959965,,,,,,,,,,,,,,,
0.135669,0.068,,,,0.22,0.956351,,,,,,,,,,,,,,,
0.137654,0.069,,,,0.23,0.952589,,,,,,,,,,,,,,,
0.139639,0.07,,,,0.24,0.948679,,,,,,,,,,,,,,,
0.141623,0.071,,,,0.25,0.944621,,,,,,,,,,,,,,,
0.143607,0.072,,,,0.26,0.940418,,,,,,,,,,,,,,,
0.14559,0.073,,,,0.27,0.936071,,,,,,,,,,,,,,,
0.147573,0.074,,,,0.28,0.93158,,,,,,,,,,,,,,,
0.149556,0.075,,,,0.29,0.926946,,,,,,,,,,,,,,,
0.151538,0.076,,,,0.3,0.922171,,,,,,,,,,,,,,,
0.153519,0.077,,,,0.31,0.917256,,,,,,,,,,,,,,,
